item_id,order_id,product_id,quantity,unit_price
I-000001,O-00001,P-031,2,85
I-000002,O-00002,P-008,3,65
I-000003,O-00002,P-002,3,85
I-000004,O-00003,P-020,3,120
I-000005,O-00003,P-011,2,85
I-000006,O-00003,P-024,3,65
I-000007,O-00004,P-027,2,52
I-000008,O-00004,P-010,1,45
I-000009,O-00004,P-015,1,18
I-000010,O-00004,P-032,2,45
I-000011,O-00005,P-029,3,58
I-000012,O-00005,P-018,3,98
I-000013,O-00006,P-023,2,85
I-000014,O-00006,P-027,1,52
I-000015,O-00006,P-034,1,45
I-000016,O-00006,P-015,1,18
I-000017,O-00007,P-002,1,85
I-000018,O-00007,P-008,3,65
I-000019,O-00008,P-031,2,85
I-000020,O-00008,P-006,2,85
I-000021,O-00008,P-007,3,98
I-000022,O-00009,P-002,1,85
I-000023,O-00010,P-006,2,85
I-000024,O-00010,P-002,1,85
I-000025,O-00010,P-034,1,45
I-000026,O-00011,P-013,3,18
I-000027,O-00011,P-008,1,65
I-000028,O-00011,P-034,3,45
I-000029,O-00011,P-008,3,65
I-000030,O-00012,P-030,2,32
I-000031,O-00012,P-034,1,45
I-000032,O-00012,P-033,3,18
I-000033,O-00013,P-001,2,38
I-000034,O-00013,P-032,3,45
I-000035,O-00013,P-021,1,24
I-000036,O-00014,P-018,3,98
I-000037,O-00015,P-012,1,65
I-000038,O-00015,P-013,2,18
I-000039,O-00015,P-029,1,58
I-000040,O-00016,P-025,2,18
I-000041,O-00016,P-034,3,45
I-000042,O-00017,P-033,1,18
I-000043,O-00018,P-006,2,85
I-000044,O-00018,P-010,3,45
I-000045,O-00018,P-026,2,52
I-000046,O-00019,P-012,2,65
I-000047,O-00019,P-002,3,85
I-000048,O-00019,P-008,3,65
I-000049,O-00020,P-030,2,32
I-000050,O-00021,P-012,3,65
I-000051,O-00022,P-003,3,120
I-000052,O-00022,P-001,1,38
I-000053,O-00022,P-008,3,65
I-000054,O-00023,P-001,1,38
I-000055,O-00023,P-002,2,85
I-000056,O-00024,P-005,2,45
I-000057,O-00024,P-031,1,85
I-000058,O-00024,P-003,1,120
I-000059,O-00024,P-017,3,58
I-000060,O-00025,P-008,2,65
I-000061,O-00026,P-019,1,18
I-000062,O-00027,P-013,3,18
I-000063,O-00027,P-011,2,85
I-000064,O-00027,P-003,3,120
I-000065,O-00028,P-016,3,24
I-000066,O-00028,P-023,3,85
I-000067,O-00028,P-022,1,85
I-000068,O-00028,P-001,1,38
I-000069,O-00029,P-018,1,98
I-000070,O-00029,P-020,1,120
I-000071,O-00029,P-032,3,45
I-000072,O-00030,P-009,2,98
